market,num_mvps
Bay Area,27
Boston,26
LA/Anaheim,23
Chicago,22
Milwaukee/GB,19
Philadelphia,17
NY/New Jersey,16
Pittsburgh,15
St. Louis,15
Baltimore,12
Cincinnati,12
Detroit,11
Edmunton,10
Minnesota,9
Dallas,8
Houston,7
Montreal,7
"Washington, DC",7
Cleveland,6
Denver,6
Atlanta,5
Buffalo,5
Indianapolis,4
Miami,4
Phoenix,3
San Antonio,3
Seattle,3
Kansas City,2
Oklahoma City,2
San Diego,2
Tampa Bay,2
Toronto,2
Utah,2
Carolina,1
Portland,1
Tennessee,1
Vancouver,1