market,team,num_mvps
Bay Area,"Golden State Warriors, San Francisco Giants, San Jose Sharks, Oakland Athletics, Oakland Raiders, San Francisco 49ers",27
Boston,"Boston Red Sox, New England Patriots, Boston Celtics, Boston Bruins",26
Chicago,"Chicago Blackhawks, Chicago Cubs, Chicago Bulls, Chicago White Sox, Chicago Bears",22
LA/Anaheim,"Los Angeles Angels, Los Angeles Dodgers, Anaheim Ducks, Los Angeles Lakers, Los Angeles Kings, Los Angeles Raiders, Los Angeles Rams",21
Milwaukee/GB,"Milwaukee Bucks, Milwaukee Brewers, Green Bay Packers, Milwaukee Braves",18
Philadelphia,"Philadelphia Phillies, Philadelphia 76ers, Philadelphia Flyers, Philadelphia Eagles, Philadelphia Warriors",17
NY/New Jersey,"New Jersey Devils, New York Yankees, New York Rangers, New York Giants, New York Islanders, New York Knicks",16
Pittsburgh,"Pittsburgh Penguins, Pittsburgh Pirates, Pittsburgh Steelers",15
St. Louis,"St. Louis Cardinals, St. Louis Rams, St. Louis Blues, St. Louis Hawks",15
Cincinnati,"Cincinnati Reds, Cincinnati Bengals, Cincinnati Royals",12
Detroit,"Detroit Tigers, Detroit Lions, Detroit Red Wings",11
Baltimore,"Baltimore Orioles, Baltimore Colts, Baltimore Bullets",11
Edmunton,Edmunton Oilers,10
Minnesota,"Minnesota Vikings, Minnesota Twins, Minnesota Timberwolves",9
Dallas,"Texas Rangers, Dallas Mavericks, Dallas Cowboys",8
"Washington, DC","Washington Nationals, Washington Capitals, Washington Redskins",7
Houston,"Houston Rockets, Houston Astros, Houston Oilers",7
Montreal,Montreal Canadiens,7
Denver,"Denver Broncos, Colorado Avalanche, Colorado Rockies",6
Cleveland,"Cleveland Cavaliers, Cleveland Browns",6
Atlanta,"Atlanta Falcons, Atlanta Braves",5
Buffalo,"Buffalo Sabres, Buffalo Bills, Buffalo Braves",5
Miami,"Miami Marlins, Miami Heat, Miami Dolphins",4
Indianapolis,Indianapolis Colts,4
Phoenix,Phoenix Suns,3
San Antonio,San Antonio Spurs,3
Seatte,"Seattle Mariners, Seattle Seahawks",3
Toronto,Toronto Blue Jays,2
Kansas City,"Kansas City Chiefs, Kansas City Royals",2
Oklahoma City,Oklahoma City Thunder,2
San Diego,"San Diego Chargers, San Diego Padres",2
Utah,Utah Jazz,2
Tennessee,Tennessee Titans,1
Tampa Bay,Tampa Bay Lightning,1
Carolina,Carolina Panthers,1
Portland,Portland Trail Blazers,1
Vancouver,Vancouver Canucks,1